result,threads,worksize,repeat,time
10000.000000,8,125000,2000,1694734
10000.000000,8,125000,2000,1612827
10000.000000,8,125000,2000,1569261
10000.000000,8,125000,2000,1618189
10000.000000,8,125000,2000,1547764
10000.000000,8,125000,2000,1820031
10000.000000,8,125000,2000,1568212
10000.000000,1,1000000,1000,2992908
10000.000000,1,1000000,1000,2934561
10000.000000,1,1000000,1000,2813929
10000.000000,1,1000000,1000,2952231
10000.000000,1,1000000,1000,2876863
10000.000000,1,1000000,1000,3046547
10000.000000,1,1000000,1000,2891985
10000.000000,1,1000000,1000,2872309
10000.000000,1,1000000,1000,2933817
10000.000000,1,1000000,1000,2975368
10000.000000,2,500000,1000,1438629
10000.000000,2,500000,1000,1425514
10000.000000,2,500000,1000,1458295
10000.000000,2,500000,1000,1423491
10000.000000,2,500000,1000,1466080
10000.000000,2,500000,1000,1433621
10000.000000,2,500000,1000,1530527
10000.000000,2,500000,1000,1650667
10000.000000,2,500000,1000,1472745
10000.000000,2,500000,1000,1438925
10000.000000,4,250000,1000,833852
10000.000000,4,250000,1000,782550
10000.000000,4,250000,1000,819136
10000.000000,4,250000,1000,878091
10000.000000,4,250000,1000,916277
10000.000000,4,250000,1000,808511
10000.000000,4,250000,1000,855229
10000.000000,4,250000,1000,824410
10000.000000,4,250000,1000,822232
10000.000000,4,250000,1000,940853
10000.000000,8,125000,1000,809857
10000.000000,8,125000,1000,762710
10000.000000,8,125000,1000,834160
10000.000000,8,125000,1000,774499
10000.000000,8,125000,1000,832501
10000.000000,8,125000,1000,839117
10000.000000,8,125000,1000,791600
10000.000000,8,125000,1000,882069
10000.000000,8,125000,1000,848110
10000.000000,8,125000,1000,833246
10000.000000,1,1000000,500,1462497
10000.000000,1,1000000,500,1473978
10000.000000,1,1000000,500,1414192
10000.000000,1,1000000,500,1423081
10000.000000,1,1000000,500,1436153
10000.000000,1,1000000,500,1458446
10000.000000,1,1000000,500,1422732
10000.000000,1,1000000,500,1467046
10000.000000,1,1000000,500,1450205
10000.000000,1,1000000,500,1551783
10000.000000,2,500000,500,768461
10000.000000,2,500000,500,716853
10000.000000,2,500000,500,730448
10000.000000,2,500000,500,775135
10000.000000,2,500000,500,730108
10000.000000,2,500000,500,797664
10000.000000,2,500000,500,875683
10000.000000,2,500000,500,823105
10000.000000,2,500000,500,856860
10000.000000,2,500000,500,927371
10000.000000,4,250000,500,556291
10000.000000,4,250000,500,661399
10000.000000,4,250000,500,592731
10000.000000,4,250000,500,425010
10000.000000,4,250000,500,425328
10000.000000,4,250000,500,546625
10000.000000,4,250000,500,596951
10000.000000,4,250000,500,527828
10000.000000,4,250000,500,508641
10000.000000,4,250000,500,441462
10000.000000,8,125000,500,416888
10000.000000,8,125000,500,405497
10000.000000,8,125000,500,443839
10000.000000,8,125000,500,425825
10000.000000,8,125000,500,465249
10000.000000,8,125000,500,483264
10000.000000,8,125000,500,477085
10000.000000,8,125000,500,459879
10000.000000,8,125000,500,414619
10000.000000,8,125000,500,442728
