result,threads,worksize,repeat,time
10000.000000,8,125000,2000,1454435
10000.000000,8,125000,2000,1909985
10000.000000,8,125000,2000,1478484
10000.000000,8,125000,2000,1717892
10000.000000,1,1000000,1000,2750795
10000.000000,1,1000000,1000,2719966
10000.000000,1,1000000,1000,2807306
10000.000000,1,1000000,1000,2796357
10000.000000,1,1000000,1000,2762636
10000.000000,1,1000000,1000,2717003
10000.000000,1,1000000,1000,2800068
10000.000000,1,1000000,1000,2827787
10000.000000,1,1000000,1000,2953664
10000.000000,1,1000000,1000,2777632
10000.000000,2,500000,1000,1574591
10000.000000,2,500000,1000,1389706
10000.000000,2,500000,1000,1480259
10000.000000,2,500000,1000,1387967
10000.000000,2,500000,1000,1381409
10000.000000,2,500000,1000,1550722
10000.000000,2,500000,1000,1391340
10000.000000,2,500000,1000,1480326
10000.000000,2,500000,1000,1393288
10000.000000,2,500000,1000,1380086
10000.000000,4,250000,1000,1148977
10000.000000,4,250000,1000,914993
10000.000000,4,250000,1000,747040
10000.000000,4,250000,1000,755479
10000.000000,4,250000,1000,1015249
10000.000000,4,250000,1000,834159
10000.000000,4,250000,1000,774294
10000.000000,4,250000,1000,1004870
10000.000000,4,250000,1000,758329
10000.000000,4,250000,1000,1031912
10000.000000,8,125000,1000,767016
10000.000000,8,125000,1000,723846
10000.000000,8,125000,1000,782992
10000.000000,8,125000,1000,939076
10000.000000,8,125000,1000,726713
10000.000000,8,125000,1000,723128
10000.000000,8,125000,1000,836112
10000.000000,8,125000,1000,1074612
10000.000000,8,125000,1000,785849
10000.000000,8,125000,1000,733066
10000.000000,1,1000000,500,1359666
10000.000000,1,1000000,500,1356191
10000.000000,1,1000000,500,1408706
10000.000000,1,1000000,500,1378604
10000.000000,1,1000000,500,1394396
10000.000000,1,1000000,500,1395683
10000.000000,1,1000000,500,1368131
10000.000000,1,1000000,500,1397013
10000.000000,1,1000000,500,1370422
10000.000000,1,1000000,500,1354724
10000.000000,2,500000,500,795431
10000.000000,2,500000,500,782519
10000.000000,2,500000,500,697996
10000.000000,2,500000,500,693876
10000.000000,2,500000,500,727080
10000.000000,2,500000,500,742631
10000.000000,2,500000,500,695714
10000.000000,2,500000,500,693464
10000.000000,2,500000,500,693729
10000.000000,2,500000,500,689674
10000.000000,4,250000,500,542412
10000.000000,4,250000,500,681604
10000.000000,4,250000,500,451340
10000.000000,4,250000,500,383964
10000.000000,4,250000,500,375120
10000.000000,4,250000,500,387034
10000.000000,4,250000,500,361670
10000.000000,4,250000,500,438044
10000.000000,4,250000,500,596492
10000.000000,4,250000,500,691874
10000.000000,8,125000,500,384728
10000.000000,8,125000,500,369554
10000.000000,8,125000,500,364838
10000.000000,8,125000,500,368229
10000.000000,8,125000,500,375166
10000.000000,8,125000,500,367590
10000.000000,8,125000,500,372708
10000.000000,8,125000,500,372034
10000.000000,8,125000,500,369099
10000.000000,8,125000,500,379102
